SPECIES	QUERY	SYMBOL
mouse	PSMA2	Psma2
rat	PSMA2	Psma2
human	GNLY	GNLY
human	RNASEN	DROSHA
mouse	RNASEN	Drosha
rat	RNASEN	Drosha
human	C12ORF4	C12orf4
mouse	C12ORF4	D6Wsu163e
human	C5ORF41	CREBRF
mouse	ATP5L	Atp5l
human	ATP5L	ATP5MG
rat	ATP5L	Atp5mg
human	HNRPDL	HNRNPDL
mouse	HNRPDL	Hnrnpdl
rat	HNRPDL	Hnrnpdl
human	C11ORF51	ANAPC15
human	CCDC72	TMA7
mouse	CCDC72	Tma7
rat	CCDC72	Tma7
human	C1ORF38	THEMIS2
human	SNORD14A	SNORD14A
mouse	SNORD14A	Snord14a
mouse	SNORD14A	Snord14a
human	ANKRD36B	ANKRD36B
human	CARKD	NAXD
mouse	CARKD	Naxd
rat	CARKD	Naxd
human	STS-1	UBASH3B
mouse	STS-1	Ubash3b
rat	STS-1	Ubash3b
human	C14ORF112	COX16
human	SIGLEC16	SIGLEC16
human	SIGLEC16	SIGLEC16
human	KIAA0907	KHDC4
mouse	KIAA0907	Khdc4
human	C1ORF71	CNST
human	EDG4	LPAR2
mouse	EDG4	Lpar2
rat	EDG4	Lpar2
rat	EDG4	Pbx4
human	TBC1D3B	TBC1D3B
human	CHMP4A	CHMP4A
human	CHMP4A	CHMP4B
human	UCRC	UQCR10
mouse	UCRC	Uqcr10
rat	UCRC	Uqcr10
human	ICT1	MRPL58
mouse	ICT1	Mrpl58
rat	ICT1	Mrpl58
human	C14ORF147	SPTSSA
human	C2ORF34	CAMKMT
human	CSRP2BP	KAT14
human	CSRP2BP	PET117
mouse	CSRP2BP	Kat14
rat	CSRP2BP	Kat14
human	LOC387820	LOC387820
human	KIAA1407	CCDC191
mouse	ATP5C1	Atp5c1
human	ATP5C1	ATP5F1C
rat	ATP5C1	Atp5f1c
human	C11ORF54	C11orf54
human	C21ORF51	SMIM11A
mouse	C21ORF51	Smim11
human	ACN9	SDHAF3
mouse	ACN9	Sdhaf3
rat	ACN9	Sdhaf3
